Codigo;Autores;Titulo;Año;Programa
T-M-283;VARGAS OVANDO, Juan Carlos;Detección de burbujas especulativas en el sector inmobiliario del municipio de Cercado, del departamento de Cochabamba, 2002 - 2012;2014;Magister en Economia y Desarrollo. Trabajo de investigación
T-M-284;VARGAS VILLARREAL, Mariel Carmen;Plan de marketing para incrementar las ventas de productos Duralit en el mercado;2014;Magister en Gestion Empresarial. Informe de plan de marketing
T-M-285;ROCHA RAMALLO, Jazmín Andrea;Estrategia de posicionamiento para el amaranto en la ciudad de Cochabamba;2014;Magister en Gestión Estratégica de Organizaciones. Informe de exploración investigativa e intervención
T-M-285;ROCHA RAMALLO, Jazmín Andrea;Estrategia de posicionamiento para el amaranto en la ciudad de Cochabamba;2014;Magister en Gestión Estratégica de Organizaciones. Informe de exploración investigativa e intervención
T-M-286;CASSIS BARAHONA, Alexander;Informe de simulación de finanzas empresariales. Area: gerencia estratégica empresarial. Empresa: Wear jeans;2014;Magister en Finanzas Corporativas. Mención: Gestión financiera. Informe de simulación de negocios
T-M-287;URRUTIA ZELADA, Lizeth Stephanie;Informe de simulación de negocios. Area: gerencia  de finanzas. Empresa: El jean;2014;Magister en Comercio Exterior y Aduanas. Informe de simulación de negocios
T-M-288;CHAVEZ OCHOA, Vivian Shirley;Informe de simulación de finanzas empresariales. Area: gerencia de planificación. Empresa: Bluz;2014;Magister en Finanzas Corporativas. Mención: Gestión financiera. Informe de simulación de negocios
T-M-289;MENESES CORDOVA, Remberto Wilson;Informe de simulación de negocios. Area: gerencia  de producción. Empresa: To Play;2014;Magister en Gestión Empresarial. Informe de simulación de negocios
T-M-292;LUIZAGA PATIÑO, Bacilia Rosario;Espacios de poder: Género y gestión en la Universidad Mayor de San Simón;2015;Magister en Gestión Universitaria. Tesis
T-M-293;LIMPIAS AGUILERA, Carlos Alberto;Sistema de distribución interdepartamental en el eje troncal. Caso: empresa Maya Mac Lean  Casa S.R.L.;2015;Magister en Gestión Empresarial. Informe de exploración investigativa e intervención
T-M-294; PEÑARANDA VILLARROEL, Pahola Carla;Diseño de una herramienta para medir actitudes en el proceso de selección de personal;2014;Magister en Gestión Estratégica de Organizaciones Mención en Gestión de Recursos Humanos. Informe de exploración investigativa e intervención
T-M-295;SANCHEZ VELA, Edma;Diseño de un modelo de auditoría operativa aplicable a la unidad de mercadeo de la Cooperativa Abierta de Ahorro y Crédito Quillacollo Ltda.;2014;Magister en Auditoría Integral. Informe de exploración investigativa e intervención
T-M-296;TEJADA MOSCOSO, Inés Lucía;Remesas y crecimiento económico. (Un panorama global de 2000 a 2012);2015;Magister en Economía y Desarrollo. Informe de exploración investigativa
T-M-297;ALBA ORTUÑO, Verónica;Metodología cualitativa de diseño de políticas públicas para el sector agrícola de Cochabamba;2014;Magister en Economía y Desarrollo. Informe de Tesis
T-M-299;MEDRANO ZAPATA, Elizabeth;"Auditoría operativa para empresas avícolas que permita evaluar la eficacia, eficiencia y economía de las operaciones (Caso de estudio Empresa Avícola ""El Carmen"")";2015;Magister en Auditoría Integral. Tesis
T-M-298;NAVIA MENDOZA, Marcel;Determinantes del crecimiento económico;2015;Magister en Economía y Desarrollo. Informe de tesis
T-M-300;ARANIBAR RIVERO, Rodrigo;Determinación de los diferentes segmentos de clientes TIGO en base al nivel de fidelización;2015;Magister en Marketing. Informe de proyecto de grado
T-M-301;MAIDA GALINDO, Wendy Karla;Propuesta de endomarketing para el Centro Boliviano Americano;2015;Magister en Gestión Estratégica de Organizaciones. Informe de exploración investigativa e intervención
