Codigo;Autores;Titulo;Año;Programa
T-M-493;Maldonado Torrico Claudia Alejandra;Manual de procesos y procedimeintos como operador económico autorizado OEA en la Agencia Despachante de Aduana W.L. Obando Ltda. en Cochabamba;2022;Magister en Comercio Exterior y Aduanas. Informe de Exploración Investigativa e Intervención
T-M-495;Pérez Fernández Jimmy;Evaluación del impacto tributario, que genera la adjudicación de mercancías al Ministerio de la Presidencia;2022;Magister en Comercio Exterior y Aduanas. Informe de Exploración Investigativa e Intervención
T-M-496;Tapia Guzmán Zobeida Mónica;Modelo de gestión de seguridad de la cadena logística para la empresa Importadora CORMEX S.R.L.;2022;Magister en Comercio Exterior y Aduanas. Informe de Exploración Investigativa e Intervención
T-M-497;Veliz Sejas Aniceto Walter;Nuevo régimen aduanero de transformación de mercancías para consumo aplicado a la confección  de prendas de vestir en Bolivia;2022;Magister en Comercio Exterior y Aduanas. Informe de Exploración Investigativa e Intervención
T-M-498;García Gamboa Norma Dalsy;Metodología general para la interconexión de los sistemas eléctricos de Bolivia y el norte argentino. Caso línea de transmisión en 132 kv Yaguacua Tartagal;2022;Magister en Comercio Exterior y Aduanas. Informe de Exploración Investigativa e Intervención
T-M-499;López Alvarez Irka Julieta;Procedimientos de importaciones de repuestos de camiones de aseo urbano para la empresa Vega Solvi S.A. en Santa Cruz de la Sierra Bolivia;2022;Magister en Comercio Exterior y Aduanas. Informe de Exploración Investigativa e Intervención
T-M-500;Zubieta Arellano, Luis fernando;Efectos por la pandemia por COVID - 19 de los productos que tradicionamnete se importan de la República de China Bolivia 2020 - 2021;2022;Magister en Comercio Exterior y Aduanas. Informe de Exploración Investigativa e Intervención
T-M-501;Sánchez Castellón, Shirley;Lineamientos normativos para impulsar la exportación de servicios de software en Bolivia;2022;Magister en Comercio Exterior y Aduanas. Informe de Exploración Investigativa e Intervención
T-M-502;Grageda Maldonado, Marcelo;Exportación de telas de fibra de alpaca a Japón;2022;Magister en Comercio Exterior y Aduanas. Informe de Exploración Investigativa e Intervención
T-M-504;Victoria Antezana, Edson Rodrigo;Modelo econométrico para medir los factores generadores de riesgo crediticio en el sistema financiero de Bolivia;2022;Magister en Estadística Aplicada a la Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-505;Merlo Zuazo, Carlos Fernando;Determinación de cartera eficiente de inversión en sectores económicos;2022;Magister en Estadística Aplicada a la Gestión Empresarial. Tesis
T-M-506;Yapu Mamani, Wilson;Transmisión de la volatilidad del precio internacional del café al mercado boliviano;2022;Magister en Estadística Aplicada a la Gestión Empresarial. Tesis
T-M-507;Vargas Triveño, Mónica Ximena;Factores socio demográficos que inciden en la decisión de deserción estudiantil para la gestión empresarial dela Universidad Unifranz;2022;Magister en Estadística Aplicada a la Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-508;Rocha Lafuente, Cecilia;Factores determinantes de la decisión de ahorro en sector financiero: Modelo lofíatico binomial y multinomial;2022;Magister en Estadística Aplicada a la Gestión Empresarial. Tesis
T-M-509;Rios Echenique Erick Orlando;Evaluación de los factores técnicos, económicos y financieros en la proyección de escenarios de logro de rentabilidad sostenible en el upstream boliviano;2022;Magister en Estadística Aplicada a la Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-510;Camacho Rodriguez, Javier Omar;Diseño de un modelo estadístico de gestión de riesgos, para la elaboración de presupuestos en unidades educativas privadas;2022;Magister en Estadística Aplicada a la Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-511;Gomez Vargas, Nelson Emilio;Análisis del impacto económico por el aprovechamiento de la actividad forestal en las comunidades indígenas del Cosejo Ciri;2022;Magister en Estadística Aplicada a la Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-512;Coca Zapata, Ruth Daysi;Modelo Económetrico para la estimación de la oferta óptima de pollo parrillero en Bolivia;2022;Magister en Estadística Aplicada a la Gestión Empresarial. Tesis
T-M-513;Mariscal Sempertegui, Franz;Modelo estadístico para pronosticar las ventas mensuales en la Empresa AMC Importaciones y Servicios;2022;Magister en Estadística Aplicada a la Gestión Empresarial. Tesis
T-M-514;Kippes Duran, Andrea Faviola;Estrategias de marketing para fortalecer y reactivar la oferta del servicion de vuelos comerciales en un entorno post confinamiento ante la pandemia Covid 19 en el mercado nacional de la Empresa Boliviana de Aviación;2022;Magister en Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-515;Ordoñez Rodriguez, Giovani Marcelo;Modelo de gestión estratégica para microempresas del sector manufacturero de materia prima de colchones;2022;Magister en Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-516;Cardoso Montaño, Thiago;Determinantes de la preferencia del sector privado al financiamiento bancario respecto a la emisión de títulos de renta fija o variable a través  de la Bolsa Boliviana de Valores;2022;Magister en Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-517;Virreira Ruiz, María Andrea;Estrategias de marketing digital plara la empresa Motoespacio S.R.L. de la ciudad de Cochabamba;2022;Magister en Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-518;Arandia Morato, Gardenia Yamaly;Endomarketing: Estrategia para el rendimiento y fidelización del cliente interno de la Promotora EFV;2022;Magister en Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-519;Fernández Daza, Virginia;Plan estrategico empresarial para la Unidad Productiva Tiquipaya Wasi;2022;Magister en Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-520;Cossio Espiniza, Marcelo Andrés;Análisis de la factibilidad de implementación de un sistema ERP para la optimización de procesos empresariales. Caso: Operadora Comercial Crex S.R.L.;2022;Magister en Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-521;Beltran Mercado, Paola Karen;"Gestión estratégica para la Escuela Superior de Administración de Empresas ""ESAE"" en la ciudad de Cochabamba";2022;Magister en Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-522;Gonzales Olmos, Dante Alvaro;Modelo de gestión empresarial para coadyuvar en al toma de decisiones en la empresa Soluciones Educacionales y Servicios;2022;Magister en Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-523;Gutiérrez Perez, Edwin Rolando;Modelo de gestión financiera para la industria del software;2022;Magister en Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-524;Gonzales Andia, Mary Liz;Factores del servicio que influyen en la satisfacción de las agencias distribuidoras de cerámica para su fidelización a la empresa cerámica COBOCE de la ciudad de Cochabamba;2022;Magister en Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-525;Chavez Moscoso, Luis Erik;"Estrategias de marketing para la aplicación movil ""A la orden"" de Pil Andina en la ciudad de Cochabamba";2022;Magister en Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-526;Alvarez Orellana, Zoraina Fabiola;E commerce para la comercialización de calzados Buble Gummers de la empresa Manaco S.A.;2022;Magister en Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-527;Mallcu Lupe, Alex Yasmani;Modelo de gestión administrativa para organizaciones de pacientes en salud de hemofilia;2022;Magister en Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-528;Herbas Montaño, Lizbeth;Sistema de calidad en atención al cliente en Banco Unión S.A. regional Cochabamba;2022;Magister en Gestión Empresarial. Informe de Exploración Investigativa e Intervención
T-M-529;López Fuentes, Ronald Vladimir;Interacción social y régimen competencial en materia de desarrollo rural integral en la Universidad Mayor de San Simón;2022;Magister en Gestión de Proyectos. Informe de Exploración Investigativa e Intervención
T-M-530;Mojica Arnez, Jimena;Procedimientos de planes de continuidad del negocio bajo la normativa ISO 22301:201 en Banco Fortaleza S.A.;2022;Magister en Gestión de Proyectos. Informe de Exploración Investigativa e Intervención
T-M-531;Cabrera Mamani, Emma Rocio;Incidencia del clima organizacional en el desempeño laboral de los trabajadores administrativos del Gobierno Municipal de Tiquipaya;2022;Magister en Gestión Empresarial. Tesis
T-M-532;Olivera Tapia, Juan Carlos;Participación y crecimiento de mercado a partir de las variaciones del delta patrimonio, en Bancos de microcréditos de la ciudad de Cochabamba;2022;Magister en Gestión Estratégica de Organización. Mención: Marketing. Tesis
T-M-533;Camacho Castro, Lia Masiel;Valoración financiera para la empresa de telecomunicaciones TIGO Bolivia;2022;Magister en Finanzas Corporativas. Informe de Exploración Investigativa e Intervención
T-M-534;Estrada Choque, Jorge Isaac;Modelo para la estimación de estructura óptima de capital de proyectos de inversión en generación eléctrica renovable financiados mediante créditos subsidiados;2022;Magister en Finanzas Corporativas. Tesis
T-M-535;Tapia Colque, Verónica;Efecto tributario de los servicios digitales pagados en Bolivia;2022;Magister en Gestión Tributaria. Informe de Exploración Investigativa e Intervención
T-M-555;Jaimes Luizaga, James Erick;Informe de simulación de negocios. Area: Gerencia de mercadotecnia. Empresa A Montecarlo;2023;Magister en Finanzas Corporativas. Informe de Simulación de Negocios
T-M-562;Marzana Sanizo, Constantina;Propuesta de Manual de Control Interno Tributario para comerciantes no empadronados en el SIN rubro Venta de Repuestos para Vehículos Automotores en al Av. Aroma;2023;Magister en Gestión Tributaria. Informe de Tesis
T-M-563;Santivañez Soruco, Jose Alejandro;El impacto de las Criptomonedas en el PIB de las Economías Emergentes;2023;Magister en Gestión Estratégica de Organizaciones. Mención: Marketing. Informe de Tesis
T-M-564;Romero Frias, Rodrigo Iver;Endomarketing y comportamiento organizacional en empresas de software de Cochabamba Bolivia , 2021;2023;Magister en Gestión Estratégica de Organizaciones. Mención: Marketing. Informe de Tesis
T-M-565;Nina Laura, Alvaro Jesus;Análisis del uso de las aplicaciones móviles en al banca digital como herramienta de preferencia de los usuarios en la ciudad de Cochabamba;2023;Magister en Gestión Estratégica de Organizaciones. Mención: Marketing. Informe de Tesis
T-M-566;Cortez Romero, Marianela;Marketing digital para el Posgrado de la Facultad de Ciencias Económicas UMSS;2023;Magister en Gestión Estratégica de Organizaciones. Mención: Marketing. Informe de Exploración Investigativa e Intervención
T-M-567;Rodriguez Saucedo, Claudia Andrea;Comparación de flujo de caja descontado y método EVA para valorar una empresa boliviana;2023;Magister en Finanzas Corporativas. Informe de Tesis
T-M-568;Mercado Fernández, Jaime Antonio;Planificación estratégica financiera. Empresa Health Supplies S.R.L.;2023;Magister en Finanzas Corporativas. Mención: Gestión Financiera. Informe de Exploración Investigativa e Intervención
T-M-569;Rocha Márquez, Raisa Aleida;Comparación de la rentabilidad entre la implementación de un huerto orgánico e hidropónico frente al atemperado de las pliscinas con gas y paneles solares en la empresa Estancia Rayos mediante el método de Arbol de Decisiones;2023;Magister en Gestión de Proyectos. Informe de Exploración Investigativa e Intervención
T-M-570;Gutiérrez Torrez, Junior Oscar;Metodología para gestión de proyectos de inversión pública en la UMSS mediante el modelo de madurez y los estándares del PMBOK (Project Management Body Of Knowledge);2023;Magister en Gestión de Proyectos. Informe de Exploración Investigativa e Intervención
